#  Energy (ev)    SCAT NP      SCAT MG       ABS NP       ABS MG
  3.1629774748e-01  2.1895184289e-27  1.4361272062e-32  4.3264457939e-21  2.8923700508e-24 6.5519438462e+04  -3.3314283477e+02
  3.2057204136e-01  2.3115518148e-27  1.5174115940e-32  4.4324073341e-21  2.9750401337e-24 6.5676540508e+04  -2.8435354566e+02
  3.2484633525e-01  2.4386820152e-27  1.6021877064e-32  4.5393060498e-21  3.0590441144e-24 6.5835189681e+04  -2.3350278246e+02
  3.2912062913e-01  2.5710549892e-27  1.6905615729e-32  4.6471322207e-21  3.1443917505e-24 6.5995364335e+04  -1.8056860450e+02
  3.3339492302e-01  2.7088192180e-27  1.7826413327e-32  4.7558764340e-21  3.2310929828e-24 6.6157042595e+04  -1.2552928350e+02
  3.3766921690e-01  2.8521257347e-27  1.8785372674e-32  4.8655295889e-21  3.3191579376e-24 6.6320202353e+04  -6.8363305872e+01
  3.4194351079e-01  3.0011281549e-27  1.9783618333e-32  4.9760828998e-21  3.4085969283e-24 6.6484821270e+04  -9.0493750041e+00
  3.4621780467e-01  3.1559827075e-27  2.0822296953e-32  5.0875279000e-21  3.4994204586e-24 6.6650876785e+04  5.2433586536e+01
  3.5049209856e-01  3.3168482667e-27  2.1902577610e-32  5.1998564449e-21  3.5916392248e-24 6.6818346108e+04  1.1610643476e+02
  3.5476639244e-01  3.4838863847e-27  2.3025652155e-32  5.3130607142e-21  3.6852641178e-24 6.6987206228e+04  1.8198980205e+02
  3.5904068633e-01  3.6572613248e-27  2.4192735575e-32  5.4271332148e-21  3.7803062263e-24 6.7157433912e+04  2.5010409501e+02
  3.6331498021e-01  3.8371400955e-27  2.5405066359e-32  5.5420667829e-21  3.8767768391e-24 6.7329005711e+04  3.2046949225e+02
  3.6758927410e-01  4.0236924854e-27  2.6663906868e-32  5.6578545858e-21  3.9746874475e-24 6.7501897958e+04  3.9310594231e+02
  3.7186356798e-01  4.2170910987e-27  2.7970543724e-32  5.7744901235e-21  4.0740497486e-24 6.7676086772e+04  4.6803316149e+02
  3.7613786187e-01  4.4175113913e-27  2.9326288193e-32  5.8919672302e-21  4.1748756477e-24 6.7851548061e+04  5.4527063177e+02
  3.8041215575e-01  4.6251317082e-27  3.0732476591e-32  6.0102800751e-21  4.2771772609e-24 6.8028257523e+04  6.2483759874e+02
  3.8468644964e-01  4.8401333212e-27  3.2190470686e-32  6.1294231639e-21  4.3809669186e-24 6.8206190649e+04  7.0675306952e+02
  3.8896074352e-01  5.0627004676e-27  3.3701658123e-32  6.2493913386e-21  4.4862571679e-24 6.8385322725e+04  7.9103581076e+02
  3.9323503741e-01  5.2930203896e-27  3.5267452842e-32  6.3701797787e-21  4.5930607759e-24 6.8565628833e+04  8.7770434660e+02
  3.9750933129e-01  5.5312833748e-27  3.6889295518e-32  6.4917840011e-21  4.7013907325e-24 6.8747083856e+04  9.6677695669e+02
  4.0178362518e-01  5.7776827969e-27  3.8568654007e-32  6.6141998600e-21  4.8112602537e-24 6.8929662479e+04  1.0582716742e+03
  4.0605791906e-01  6.0324151579e-27  4.0307023797e-32  6.7374235469e-21  4.9226827850e-24 6.9113339192e+04  1.1522062840e+03
